gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
COX10,211.219823,-0.448906595,0.310285793,-1.44675201,0.147966392,0.234681823
PAF1,921.3192718,-0.515589039,0.143953046,-3.581647304,0.000341435,0.001111534
VPS41,1773.296599,-0.539455066,0.188652853,-2.85951183,0.004242936,0.010805976
ARHGAP44,17115.22434,4.186056467,0.171191418,24.45249014,4.73E-132,5.78E-129
ELAC2,1939.719251,0.835229133,0.165361545,5.050927256,4.40E-07,2.48E-06
SCIN,235.86342,-2.976328417,0.321937967,-9.245037005,2.35E-20,5.75E-19
ARSD,3108.988074,-0.510721375,0.145180884,-3.517827966,0.000435094,0.001387202
PNPLA4,16.59410215,5.077996572,0.709979073,7.152318662,8.53E-13,1.10E-11
MYH13,741.8880959,-1.050643869,0.19136874,-5.490154092,4.02E-08,2.70E-07
ADIPOR2,12.5763521,7.074661827,1.059098138,6.679892612,2.39E-11,2.59E-10
CDKL3,0.445930443,-1.426488048,1.245651242,-1.145174508,0.252136876,0.360978446
UPP2,4395.730112,-0.060156462,0.138003179,-0.435906348,0.662904679,0.754548935
PRSS21,8.438888936,0.537098918,0.376861132,1.425190532,0.154102133,0.242481452
PROM1,1369.141655,-1.42294037,0.244262268,-5.825461226,5.70E-09,4.36E-08
CCDC124,0.755967346,0.540988828,1.069064833,0.506039308,0.612829055,0.711964726
CEACAM21,1897.959265,-0.15893684,0.152063472,-1.045200649,0.295930243,0.408402884
PAFAH1B1,0.501319202,-0.848846869,1.225353052,-0.692736569,0.488474885,0.601671742
NOS2,4578.342571,0.157420705,0.113057263,1.39239798,0.163801916,0.254952663
KIAA0100,2.576809134,0.794199676,0.669865958,1.185609846,0.235776412,0.342111943
SLC13A2,6243.651444,0.19537523,0.155454459,1.256800421,0.208825914,0.309941175
TRAPPC6A,8.164982329,-2.009165746,0.945349177,-2.125316015,0.033560253,0.067190511
MATK,324.4176209,-1.063691673,0.20507397,-5.186868299,2.14E-07,1.27E-06
CEACAM7,140.759335,-3.884692576,0.914270564,-4.248952912,2.15E-05,8.95E-05
ST7L,0.908585808,1.654560465,1.462525085,1.131303991,0.257927165,0.36733093
TKTL1,428.0513861,0.222458101,0.178286505,1.247756252,0.212120334,0.313783471
PAX6,1.393109467,2.213003878,1.124713914,1.96761492,0.049112362,0.093143656
