measure,location,sex,age,cause,rei,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Unsafe sex,Percent,2019,0.01841581620524658,0.02149517389865323,0.016247890201306698
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Unsafe sex,Rate,2019,602.8520638333151,691.787718783367,541.0784441791111
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Unsafe sex,Percent,2019,0.017406289553946283,0.02035439382973268,0.015297924853790548
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Unsafe sex,Rate,2019,570.7807873906826,658.1011442179125,510.23732864716374
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Drug use,Number,2019,30927026.665281802,35669628.87886885,26668899.960044023
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Drug use,Percent,2019,0.012194086170265708,0.013816803375381563,0.010683035379896186
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Drug use,Rate,2019,399.70491850930927,460.99892688004905,344.67233467447153
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Drug use,Percent,2019,0.011563579827883377,0.013102747515527507,0.010111459586412165
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Drug use,Rate,2019,379.6795505646205,438.75121498309807,326.9542459379529
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,High fasting plasma glucose,Number,2019,172068733.66272017,204905610.29230657,142535291.0334238
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,High fasting plasma glucose,Percent,2019,0.06784350607766196,0.08031094409559338,0.05810879881326964
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,High fasting plasma glucose,Rate,2019,2223.8387126902585,2648.226780750583,1842.1446556700937
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,High fasting plasma glucose,Percent,2019,0.06409080916792248,0.07595139042505167,0.05471036999526221
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,High fasting plasma glucose,Rate,2019,2104.2644044607077,2520.71694114511,1740.7247598276151
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,High systolic blood pressure,Number,2019,235424636.13987815,260554757.72156942,211056308.49663252
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,High systolic blood pressure,Percent,2019,0.09294126902971614,0.1045978965440134,0.08190473502489429
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,High systolic blood pressure,Rate,2019,3042.65864358081,3367.443606184887,2727.7192050027757
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,High systolic blood pressure,Percent,2019,0.08799256397952673,0.09918705333135175,0.07738854054101639
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,High systolic blood pressure,Rate,2019,2885.5658359076765,3201.0493837583276,2580.7500422398584
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,High body-mass index,Number,2019,160265357.4943574,218870439.28782707,105969034.15898442
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,High body-mass index,Percent,2019,0.06320159418300639,0.08564491119834369,0.04206839750536803
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,High body-mass index,Rate,2019,2071.290342600535,2828.710048542925,1369.5575918578566
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,High body-mass index,Percent,2019,0.058869194629409635,0.08005332557749727,0.038929858498720285
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,High body-mass index,Rate,2019,1932.5384127601212,2639.7366260227254,1276.610999881663
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Low bone mineral density,Number,2019,16647466.399422338,20036301.74188327,13503526.235824967
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Low bone mineral density,Percent,2019,0.006554507323415144,0.0074111786370116275,0.005507559465501715
