"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV_24968","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter"
"ASV_24969","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","Ellin6067"
"ASV_24970","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales",NA,NA
"ASV_24971","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis","Nordella"
"ASV_24972","Bacteria","Actinobacteriota","MB-A2-108",NA,NA,NA
"ASV_24973","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","SC-I-84",NA
"ASV_24974","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales",NA,NA
"ASV_24975","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Leptothrix"
"ASV_24976","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas"
"ASV_24977","Bacteria","Proteobacteria","Alphaproteobacteria","Micavibrionales",NA,NA
"ASV_24978","Bacteria","Actinobacteriota","MB-A2-108",NA,NA,NA
"ASV_24979","Bacteria","Acidobacteriota","Holophagae","Subgroup 7",NA,NA
"ASV_24980","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",NA
"ASV_24981","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Echinicola"
"ASV_24982","Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101 soil group",NA
"ASV_24983","Bacteria","Actinobacteriota","Thermoleophilia",NA,NA,NA
"ASV_24984","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","Ohtaekwangia"
"ASV_24985","Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Solimonadaceae","Polycyclovorans"
"ASV_24986","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Crossiella"
"ASV_24987","Bacteria","Actinobacteriota","Acidimicrobiia",NA,NA,NA
"ASV_24988","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Qipengyuania"
"ASV_24989","Bacteria","Chloroflexi","TK10",NA,NA,NA
"ASV_24990","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales",NA,NA
"ASV_24991","Bacteria","Chloroflexi","KD4-96",NA,NA,NA
"ASV_24992","Bacteria","Bacteroidota","Kryptonia","Kryptoniales","BSV26",NA
"ASV_24993","Bacteria","Bdellovibrionota","Oligoflexia","0319-6G20",NA,NA
"ASV_24994","Bacteria","Gemmatimonadota","S0134 terrestrial group",NA,NA,NA
"ASV_24995","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Planosporangium"
"ASV_24996","Bacteria","Actinobacteriota","Actinobacteria","Frankiales",NA,NA
"ASV_24997","Bacteria","Bdellovibrionota","Oligoflexia","0319-6G20",NA,NA
