TF,target,importance
EZH2,FXN,19.931213145121287
MYLK,TSPAN7,19.922739672055542
ANXA1,STMN1,19.88359492187474
CD59,KITLG,19.88326150399009
SOX15,PLTP,19.881435139396075
SOX17,GULP1,19.85239905396206
PROX1,PDPN,19.849094381921347
PROX1,F11R,19.836802208184388
HMGN3,SMAGP,19.824747518543823
HMGN3,COL18A1,19.813005040240302
KLF9,ABI3BP,19.795406632746822
SNAI1,ATP8B1,19.792025415145073
JUN,SGK1,19.77601961749986
IRX5,PTCH1,19.723509907921535
EZH2,P3H4,19.715778597926565
ODC1,ADGRL4,19.71247000556846
ANXA1,P3H4,19.70433154437131
HMGN3,HTATIP2,19.672061057868937
EZH2,VIM,19.662963395885015
HOXD9,ST6GALNAC2,19.637065038149746
ARG1,QDPR,19.634360756813848
ANXA1,PGF,19.600060464412177
ERG,PTPRN2,19.598652947970827
CD59,S100A6,19.57800100699985
SOX18,HSPB1,19.55220625812763
TBX1,NID1,19.493844542397085
HOXD9,RNF39,19.44421563389907
ID1,NRP1,19.419700183855788
ANXA1,BNIP3,19.416607385574245
HMGN3,MFGE8,19.41441517778914
NR2F2,FCGRT,19.41281311810749
ARG1,AEBP1,19.378312661979727
PHLDA2,MYCT1,19.375212182349074
HOXD9,KRT17,19.36455956359723
DAB2,MEOX1,19.353308656220257
TBX1,CTNNAL1,19.327807219033584
CD59,TIE1,19.31592615717701
MYC,EMP1,19.308591555855728
CD59,ITGA6,19.29773058357676
TBX1,RAMP3,19.251204862573772
JUN,HES1,19.248591006274996
TBX1,UBE2QL1,19.239278088999303
ODC1,GLRX5,19.23500527066358
PRNP,FLT1,19.195156870935577
CD59,PDGFB,19.19134215331168
KLF9,SPNS2,19.185085344239727
SNAI1,LAMA5,19.169980547183815
ATF3,FAM110D,19.135842621001366
EZH2,TWF1,19.127773760347104
ODC1,FAM162A,19.113574001468812
NR2F2,COL8A2,19.10541546623741
SOX17,PODXL,19.098819118088187
MYLK,IFIT2,19.06435885577088
PRDM1,PROCR,19.039994610567145
NR4A3,ADAMTS4,19.037274457277142
PROX1,FCGRT,19.034185546371482
PROX1,PKHD1L1,19.03265820811737
MEOX1,TGM2,19.03234592370947
SNAI1,PDGFB,19.031349407403077
HOXD9,CD9,19.0145822876302
MEOX1,DAB2,19.002256436810235
HOXD10,CNKSR3,18.990871640530788
HTATIP2,TNFRSF12A,18.973408935270633
TCF15,C1QTNF9,18.952111355204906
HMGN3,CRELD2,18.94297333996412
HMGN3,SPC24,18.934217957384636
PIR,PDPN,18.921814748496626
PRNP,HMOX1,18.901811871471796
IRF6,TUBB2A,18.900024005510705
GATA2,SEMA3D,18.84235267100963
EGR1,FOS,18.830713441920146
PHLDA2,SERPINE1,18.829093111028534
HOXD10,PAWR,18.795654955657923
ATF3,GADD45G,18.793174531734447
CD59,SPRY4,18.78470249412327
VDR,BACE2,18.73210369664584
CD59,CD9,18.717736742716543
IRF6,MUSTN1,18.715524736057795
EPAS1,MMRN2,18.704258012533124
EZH2,GLTP,18.687908900285127
MYC,GEM,18.67890442065996
JUN,ENG,18.675483382845687
ANXA1,HRAS,18.647917617473247
NR2F2,ITGB4,18.64651909463238
PRNP,IGFBP7,18.62422869682088
KLF9,RNF39,18.621323606192814
ANXA1,TGM2,18.616216759803894
TBX1,COL5A2,18.596225426934687
NR2F2,ANGPT2,18.583116362296543
KLF9,PRELP,18.578155686849914
FOS,PLTP,18.567131130895834
EPAS1,PODXL,18.562746569408475
PROX1,CYP4B1,18.56105689474972
HOXD10,VIM,18.55973094835317
NR2F2,CCDC80,18.550053391260686
NR2F2,MAL,18.531596569805735
NR2F2,SNCG,18.528051402317995
NR2F2,CYP4B1,18.525171646139835
EPAS1,PLS3,18.503105145277644
DAB2,TSC22D1,18.497708051617508
TBX1,ENPEP,18.469851614453635
HTATIP2,PABPC4,18.46662088852553
SOX18,GIMAP4,18.450884408524406
ATF3,TM4SF1,18.45074411237541
HIVEP3,MRC1,18.447365612831458
SNAI1,SPARC,18.44211353028952
EZH2,MKI67,18.421553704610027
SOX18,TRIM47,18.41934501252051
ANXA1,RAI14,18.417945535629865
TAL1,LBP,18.391980655919454
ANXA1,PAWR,18.385577331407575
ANXA1,CSRP2,18.375407634395863
NR2F2,PAM,18.354689516832103
PRNP,SLC9A3R2,18.33253617827207
PROX1,CLEC3B,18.31887408969491
MEOX1,CDH5,18.287732587027506
HTATIP2,TUBB6,18.245076344673567
KLF4,PTPRN2,18.217089033327078
HTATIP2,CCNE1,18.216973965255026
KLF9,PKHD1L1,18.211719786703174
TBX1,TSPAN18,18.201536802629263
HOXD9,SPNS2,18.1896102860748
CEBPD,ACKR3,18.185822433874105
FOS,ID3,18.17979990187522
SOX17,CYYR1,18.16698195949846
ODC1,PDGFA,18.14294500889374
HMGN3,FXN,18.13012368346105
KLF9,ENPEP,18.122554777616998
PRNP,TNFRSF12A,18.118939734691143
PROX1,SPNS2,18.112656326303483
SOX18,MMRN1,18.100986262347696
TBX1,FGL2,18.090798015665726
MECOM,PLS3,18.090595197232073
NR2F2,TFPI,18.078123710099252
KLF4,MISP,18.074993936778593
SOX17,MRPS26,18.067861018519743
SOX17,MKI67,18.04363715238261
HOXD9,CAV1,18.036111475073923
HMGN3,TRIM47,18.03084372765257
SOX7,COL4A1,18.02712514375574
ERG,IGFBP7,18.0090017859725
ERG,PRELP,18.004501540193573
PRNP,CRIP2,17.994969122645113
TBX1,SERPINE2,17.986544469929413
TAL1,EFEMP2,17.964113358766006
TBX1,PAWR,17.95578705690211
TBX1,DBI,17.951279339272357
NR2F2,UNC5B,17.94180873741987
NR4A1,PTX3,17.926648816120952
TCF15,CYYR1,17.925427374176678
TWIST2,NDRG1,17.880385257174296
MAFB,IL13RA2,17.879534255816623
DAB2,EGLN3,17.878343094845196
SOX18,TSPAN12,17.854208084454722
PROX1,COLEC12,17.85057045212822
